TSTNO,VIN,OCCLOC,PP_TTF_LAP,PP_force_LAP,PP_TTF_SHOULDER,PP_force_SHOULDER,LL_first,LL_second
978,1GNEG25K1H7111660,02,0.0,0.0,0.0,0.0,0.0,0.0
979,JAACL16L6H0708915,01,0.0,0.0,0.0,0.0,0.0,0.0
979,JAACL16L6H0708915,02,0.0,0.0,0.0,0.0,0.0,0.0
989,1G2JB51K4H7511309,01,0.0,0.0,0.0,0.0,0.0,0.0
989,1G2JB51K4H7511309,02,0.0,0.0,0.0,0.0,0.0,0.0
994,1G1FP21S4HN134034,01,0.0,0.0,0.0,0.0,5.66,0.0
994,1G1FP21S4HN134034,02,0.0,0.0,0.0,0.0,0.0,0.0
995,1FABP41A9HF137648,01,0.0,0.0,0.0,0.0,0.0,0.0
995,1FABP41A9HF137648,02,0.0,0.0,0.0,0.0,0.0,0.0
996,KMHLD11J3HU025358,01,0.0,0.0,0.0,0.0,0.0,0.0
996,KMHLD11J3HU025358,02,0.0,0.0,0.0,0.0,0.0,0.0
997,1FAPP2095HT140209,01,0.0,0.0,0.0,0.0,0.0,0.0
997,1FAPP2095HT140209,02,0.0,0.0,0.0,0.0,0.0,0.0
998,1MECM36X9HK624420,01,0.0,0.0,0.0,0.0,0.0,0.0
998,1MECM36X9HK624420,02,0.0,0.0,0.0,0.0,0.0,0.0
999,VX1BA1211HK350062,01,0.0,0.0,0.0,0.0,0.0,0.0
999,VX1BA1211HK350062,02,0.0,0.0,0.0,0.0,0.0,0.0
1000,1JTHS641XHT085473,01,0.0,0.0,0.0,0.0,0.0,0.0
1000,1JTHS641XHT085473,02,0.0,0.0,0.0,0.0,0.0,0.0
1010,1B7EN14C5HS429863,01,0.0,0.0,0.0,0.0,0.0,0.0
1010,1B7EN14C5HS429863,02,0.0,0.0,0.0,0.0,4.26,0.0
